split,video_id,prediction_type,source,class,class_id,start_frame,end_frame,duration_frames,backbone,head,seed,model_name,track
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,investigation,1,6,22,17,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,investigation,1,49,123,75,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,investigation,1,152,293,142,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,investigation,1,313,689,377,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,investigation,1,716,1090,375,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,investigation,1,1117,1288,172,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,investigation,1,1306,1602,297,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,investigation,1,1653,1780,128,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,investigation,1,1801,1967,167,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,investigation,1,2178,2323,146,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,mount,2,2325,2421,97,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,investigation,1,2559,2597,39,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,mount,2,2599,2664,66,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,investigation,1,2666,2680,15,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,investigation,1,2820,2848,29,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,mount,2,2850,3106,257,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,investigation,1,3108,3138,31,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,investigation,1,3295,3311,17,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,mount,2,3313,3435,123,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,investigation,1,3437,3460,24,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,investigation,1,3537,3566,30,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,mount,2,3568,3632,65,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,investigation,1,3634,3689,56,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,mount,2,3691,3734,44,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,investigation,1,3736,3800,65,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,mount,2,3802,3816,15,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,investigation,1,3818,3838,21,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,investigation,1,3859,3981,123,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,investigation,1,4000,4055,56,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,investigation,1,4290,4346,57,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,mount,2,4348,4501,154,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,investigation,1,4612,4685,74,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,mount,2,4687,4710,24,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,investigation,1,4712,4718,7,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,investigation,1,4965,5026,62,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,mount,2,5028,5183,156,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,investigation,1,5913,5996,84,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,mount,2,5998,6322,325,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,investigation,1,6918,6945,28,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,mount,2,6947,6981,35,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,investigation,1,6983,7047,65,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,investigation,1,7179,7237,59,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,mount,2,7239,7454,216,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,investigation,1,7778,7785,8,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,investigation,1,8003,8013,11,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,investigation,1,8029,8037,9,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,investigation,1,8280,8340,61,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,investigation,1,9047,9099,53,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,mount,2,9101,9349,249,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,investigation,1,9351,9357,7,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,investigation,1,9549,9571,23,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,mount,2,9573,9648,76,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,investigation,1,9916,9927,12,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,investigation,1,10263,10331,69,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,mount,2,10333,10381,49,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,investigation,1,10383,10573,191,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,mount,2,10869,10985,117,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,investigation,1,11864,11900,37,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,mount,2,11902,12072,171,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,investigation,1,12158,12176,19,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,mount,2,12178,12308,131,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,investigation,1,12310,12315,6,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,investigation,1,12552,12563,12,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,investigation,1,13085,13142,58,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,mount,2,13144,13183,40,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,investigation,1,13185,13194,10,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,investigation,1,13487,13502,16,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,investigation,1,13580,13595,16,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,mount,2,13597,13699,103,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,investigation,1,13701,13711,11,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,investigation,1,13870,13908,39,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
test_1,Mouse060_20160526_18-16-27,smoothed_frames,ground_truth,investigation,1,14216,14232,17,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
